airport,easting,northing,elevation,radius,height
KSFO,-1326.334844,898.4162716,13,65.1732,18000
KOAK,-1317.721195,903.0707123,9,65.1732,18000
KSJC,-1308.122642,878.6401835,62,65.1732,18000
KSMF,-1275.901424,955.999987,27,65.1732,18000
KPDX,-1235.656604,1391.283656,31,65.1732,18000
KFAT,-1208.554972,822.7076387,336,65.1732,18000
KSEA,-1198.909393,1507.00144,433,65.1732,18000
KLAX,-1174.85114,640.8135838,125,65.1732,18000
KBUR,-1169.715391,655.909395,778,65.1732,18000
KLGB,-1163.409322,631.1788484,60,65.1732,18000
KSNA,-1150.723123,620.2500569,56,65.1732,18000
KONT,-1133.580063,640.7759734,944,65.1732,18000
KSAN,-1126.229848,558.1840379,16.8,65.1732,18000
KPSP,-1081.352829,618.2796063,477,65.1732,18000
KPHX,-859.7047326,562.2811794,1135,65.1732,18000
KTUS,-815.2115111,476.3651811,2643.2,65.1732,18000
KSLC,-801.4948792,1010.875949,4227,65.1732,18000
KELP,-583.9860508,434.2046158,3961.6,65.1732,18000
KABQ,-579.12836,630.8150403,5355,65.1732,18000
KCOS,-467.5848871,854.0773005,6187,65.1732,18000
KDEN,-461.565772,919.3482914,5433.8,65.1732,18000
KOKC,-129.4912631,628.7938807,1295,65.1732,18000
KDFW,-103.7473668,476.4703531,607,65.1732,18000
KDAL,-94.320792,473.303454,487,65.1732,18000
KTUL,-43.88916347,676.9290244,677.5,65.1732,18000
KIAH,-17.80256177,299.6569477,96.4,65.1732,18000
KHOU,-14.60777576,279.2220579,46,65.1732,18000
KMCI,13.73253826,867.8475026,1026,65.1732,18000
KXNA,34.17574779,682.0180361,1288,65.1732,18000
KDSM,62.82031353,1007.663835,958,65.1732,18000
KMSP,80.75600295,1220.179171,841.9,65.1732,18000
KLIT,138.9818335,588.4644006,266,65.1732,18000
KCID,153.9894042,1031.275964,869.4,65.1732,18000
KSTL,223.4320247,837.6285471,618,65.1732,18000
KMSY,247.4960577,304.5058482,4,65.1732,18000
KMEM,250.8227185,610.7738497,341,65.1732,18000
KMKE,328.9307004,1105.029811,729,65.1732,18000
KORD,331.6528164,1044.188234,672,65.1732,18000
KMDW,339.5521618,1032.261898,619.8,65.1732,18000
KBNA,411.3353151,684.8822396,599,65.1732,18000
KIND,416.02148,907.2176417,797,65.1732,18000
KSDF,449.2227524,813.6267466,501,65.1732,18000
KCVG,496.795826,871.3318598,896,65.1732,18000
KATL,534.1595797,541.4375917,1026,65.1732,18000
KDTW,542.9235207,1073.329386,645.2,65.1732,18000
KCMH,576.7236124,937.1102425,814.7,65.1732,18000
KCLE,617.4333057,1029.466839,799.4,65.1732,18000
KTPA,661.0519947,209.1234692,26,65.1732,18000
KCLT,699.4534755,652.901137,748,65.1732,18000
KRSW,710.6117842,126.9762387,30,65.1732,18000
KMCO,722.9902052,242.5470602,96,65.1732,18000
KMIA,793.7367377,90.8387929,8.5,65.1732,18000
KPBI,798.3118235,144.9910352,20,65.1732,18000
KFLL,799.275118,108.2386894,9,65.1732,18000
KRDU,801.7571699,705.1951866,435,65.1732,18000
KIAD,842.6588783,900.6587461,312,65.1732,18000
KDCA,863.5925187,897.4811358,14.9,65.1732,18000
KBWI,878.5761685,919.6939088,146,65.1732,18000
KPHL,940.2115511,972.1340222,36,65.1732,18000
KEWR,982.9955479,1030.354983,18,65.1732,18000
KLGA,996.0362849,1037.702403,21,65.1732,18000
KJFK,1001.766304,1029.938356,14,65.1732,18000
KBOS,1112.341513,1158.203096,20,65.1732,18000
